stop_id,stop_name,stop_name_tamil,lat,lng,area,zone,interchange_type,landmark,routes_serving
S001,Broadway Bus Terminus,பிராட்வே பேருந்து நிலையம்,13.0956,80.2876,North Chennai,Zone-1,Major Terminus,Near High Court,23C;21G;70;9;29C
S002,Chennai Central Railway Station,சென்னை சென்ட்ரல் ரயில் நிலையம்,13.0827,80.2757,Central Chennai,Zone-1,Railway Interchange,Opposite Park Town,23C;29C;9
S003,Egmore Railway Station,எழும்பூர் ரயில் நிலையம்,13.0770,80.2613,Central Chennai,Zone-1,Railway Interchange,Near Hospital District,23C;29C
S004,T Nagar Panagal Park,தி.நகர் பணகல் பார்க்,13.0388,80.2323,T Nagar,Zone-2,Major Hub,Near Saravana Stores,47B;5;27A;9
S005,Guindy Bus Stop,கிண்டி பேருந்து நிறுத்தம்,13.0068,80.2206,Guindy,Zone-3,Metro Interchange,Near TIDCO Colony,23C;5;29C
S006,Saidapet Bus Stop,சைதாப்பேட்டை,13.0227,80.2202,Saidapet,Zone-3,Metro Interchange,Near Saidapet Bridge,23C;29C;5;27A
S007,Adyar Bus Stand,அடையாறு பேருந்து நிலையம்,13.0012,80.2565,Adyar,Zone-3,Major Hub,Adyar signal,19B;21G;47B;27A
S008,Thiruvanmiyur Bus Stop,திருவான்மியூர்,12.9833,80.2584,Thiruvanmiyur,Zone-4,Local Hub,Near SRP Tools,19B;M15
S009,Velachery Bus Terminus,வேளச்சேரி பேருந்து நிலையம்,12.9815,80.2209,Velachery,Zone-4,Metro Interchange,Near Phoenix Mall,29C;M15
S010,Tambaram Bus Terminus,தாம்பரம் பேருந்து நிலையம்,12.9249,80.1000,Tambaram,Zone-5,Major Terminus,Near Tambaram Junction,23C;21G;70;M15
S011,Koyambedu CMBT,கோயம்பேடு,13.0694,80.1952,Koyambedu,Zone-2,Major Terminus,Near Koyambedu Market,27A;29C
S012,Chepauk Bus Stop,சேப்பாக்கம்,13.0622,80.2793,Chepauk,Zone-1,Stadium Adjacent,Near MA Chidambaram Stadium,9;23C
S013,Besant Nagar Bus Stop,பெசண்ட் நகர்,12.9990,80.2716,Besant Nagar,Zone-3,Beach Area,Near Elliot Beach,47B
S014,Sholinganallur Bus Stop,சோழிங்கநல்லூர்,12.9010,80.2279,Sholinganallur,Zone-5,OMR Tech Corridor,Near Cognizant Campus,19B
S015,Mylapore Bus Stop,மயிலாப்பூர்,13.0330,80.2677,Mylapore,Zone-2,Cultural Hub,Near Kapaleeshwarar Temple,M15;47B
S016,Royapettah Bus Stop,ராயப்பேட்டை,13.0524,80.2614,Royapettah,Zone-2,Medical Hub,Near Apollo Hospital,21G;47B
S017,Vadapalani Bus Stop,வடபழனி,13.0503,80.2121,Vadapalani,Zone-2,Major Hub,Near Vadapalani Junction,27A;70
S018,Porur Bus Stop,பொரூர்,13.0367,80.1574,Porur,Zone-3,Western Suburb,Near Porur Lake Junction,70
S019,Velachery Bypass,வேளச்சேரி பைபாஸ்,12.9745,80.2150,Velachery,Zone-4,OMR connector,Near Vijay TV,29C
S020,Perambur Bus Stop,பெரம்பூர்,13.1171,80.2494,Perambur,Zone-1,North Chennai,Near Perambur Railway Station,9
S021,Villivakkam Bus Terminus,வில்லிவாக்கம்,13.1135,80.2117,Villivakkam,Zone-2,North West Hub,Near Villivakkam Junction,47B
S022,Nungambakkam Bus Stop,நுங்கம்பாக்கம்,13.0600,80.2412,Nungambakkam,Zone-2,Upscale Hub,Near Indian Bank HQ,47B;27A
S023,Anna Nagar Roundtana,அண்ணா நகர் வட்டம்,13.0849,80.2101,Anna Nagar,Zone-2,Residential Hub,Near Anna Nagar Tower,27A
S024,Thiruvotriyur Bus Terminus,திருவொற்றியூர்,13.1666,80.3107,Thiruvotriyur,Zone-1,Port Area,Near TNPCB,9
S025,Chromepet Bus Stop,குரோம்பேட்டை,12.9516,80.1417,Chromepet,Zone-5,South Suburb,Near Chromepet Signal,23C;70
S026,Pallavaram Bus Stop,பல்லாவரம்,12.9673,80.1574,Pallavaram,Zone-5,South Suburb,Near IAF Station,23C;70
S027,Nanganallur Bus Stop,நாங்கநல்லூர்,12.9893,80.1965,Nanganallur,Zone-4,South Hub,Near Metro Station,29C
S028,Perungudi Bus Stop,பெருங்குடி,12.9587,80.2415,Perungudi,Zone-4,IT Corridor,Near Tidel Park,19B
S029,Medavakkam Bus Stop,மேடவாக்கம்,12.9211,80.1963,Medavakkam,Zone-5,South East Suburb,Near Medavakkam Junction,M15
S030,OMR Sholinganallur Signal,ஓ.எம்.ஆர் சோழிங்கநல்லூர்,12.9007,80.2267,Sholinganallur,Zone-5,IT Hub,Near Infosys Campus,19B
